Transect_I,MGMTUNIT_I,TransectNa,StartLat,StartLong,SITE_ID,tblSITE_Site,ManUnitAcres,Obs.2008,Obs.2009,Obs.2010,Obs.2011,Obs.2012,Obs.2013,Obs.2014,Obs.2015,Obs.2016,Obs.2017,Obs.2018,Sys.2008,Sys.2009,Sys.2010,Sys.2011,Sys.2012,Sys.2013,Sys.2014,Sys.2015,Sys.2016,Sys.2017,Sys.2018,Mgmt.2008,Mgmt.2009,Mgmt.2010,Mgmt.2011,Mgmt.2012,Mgmt.2013,Mgmt.2014,Mgmt.2015,Mgmt.2016,Mgmt.2017,Mgmt.2018,NumObs,Delta
1567,194,BR8_010,46.353818,-97.36532,64,,160,,,,,,,,,,,,,,,,,,,,,,,"","",Rest,Graze,Graze,Combo,"",Graze,Graze,Graze,"",,1
1568,194,BR8_011,46.35086,-97.37042,64,,160,,,,,,,,,,,,,,,,,,,,,,,"","",Rest,Graze,Graze,Combo,"",Graze,Graze,Graze,"",,1
1569,194,BR8_017,46.349658,-97.37261,64,,160,,,,,,,,,,,,,,,,,,,,,,,"","",Rest,Graze,Graze,Combo,"",Graze,Graze,Graze,"",,1
1570,194,BR8_020,46.348981,-97.37011,64,,160,,,,,,,,,,,,,,,,,,,,,,,"","",Rest,Graze,Graze,Combo,"",Graze,Graze,Graze,"",,1
1571,194,BR8_021,46.348693,-97.37157,64,,160,,,,,,,,,,,,,,,,,,,,,,,"","",Rest,Graze,Graze,Combo,"",Graze,Graze,Graze,"",,1
1572,194,BR8_023,46.348162,-97.37163,64,,160,,,,,,,,,,,,,,,,,,,,,,,"","",Rest,Graze,Graze,Combo,"",Graze,Graze,Graze,"",,1
1573,195,BR9_15,46.34829,-97.3573,64,Brown Ranch,84.2,1,0,0,0,0,0,0,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,"",UG,UG,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",0,0
1574,195,BR9_18,46.34988,-97.3584,64,Brown Ranch,84.2,1,0,0,0,0,0,0,0,0,0,0,LG,LG,LG,LG,LG,LG,LG,LG,"",LG,LG,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",0,0
1575,195,BR9_54,46.35273,-97.3563,64,Brown Ranch,84.2,1,0,0,0,0,0,0,0,0,0,0,WM,WM,WM,WM,WM,WM,WM,WM,"",WM,WM,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",0,0
1576,195,BR9_63,46.35069,-97.3552,64,,84.2,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",,1
1577,195,BR9_67,46.34922,-97.3547,64,,84.2,,,,,,,,,,,,,,,,,,,,,,,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",,1
1578,195,BR9_80,46.35335,-97.3547,64,Brown Ranch,84.2,1,0,0,0,0,0,0,0,0,0,0,UG,UG,UG,UG,UG,UG,UG,UG,"",UG,UG,Rest,Rest,Rest,Rest,Burn,Rest,Rest,Rest,Rest,Rest,"",0,0
1579,196,BR9_37,46.35266,-97.362,64,Brown Ranch,71.1,1,0,0,0,0,0,0,0,0,0,0,WM,WM,WM,WM,WM,WM,WM,WM,"",WM,WM,Graze,Rest,Graze,Rest,Combo,Graze,Graze,Graze,Graze,Rest,"",0,0
1580,196,BR9_39,46.34921,-97.3615,64,,71.1,,,,,,,,,,,,,,,,,,,,,,,Graze,Rest,Graze,Rest,Combo,Graze,Graze,Graze,Graze,Rest,"",,1
